siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
100028653,00010,10002865300010,O,2026-01-19,NN,,,2026-02-02T12:20:35.498,true,A,O,,2026-01-19,5710,DIALA TRANSPORT,,,,,,,,,,,49.32Z,NAFRev2,,N,N,NN,,00010,2026-02-02T12:20:35.498,,,,2,,,RUE,SANDRO BOTTICELLI,93420,VILLEPINTE,,93078,,,930781268_B,667175.48,6872662.68,A,,,,,49.32Z,NAFRev2,N,49.33H
100039494,00016,10003949400016,O,2026-01-19,NN,,,2026-01-20T08:40:15.669,true,A,O,,2026-01-19,1000,,,F,BOLOSIER,,RACHEL,,,,RACHEL,,81.21Z,NAFRev2,,,,NN,,00016,2026-01-20T08:40:15.668,,,,11,,,RUE,GEORGES BRASSENS,93420,VILLEPINTE,,93078,,,930780606_B,667479.4,6873192.2,A,,,,WECASA MENAGE,81.21Z,NAFRev2,N,81.21Y
100045962,00014,10004596200014,O,2026-02-01,NN,,,2026-02-16T16:31:20.536,true,A,O,,2026-02-01,1000,,,M,BENSELEM,,SAID,,,,SAID,,80.20Z,NAFRev2,,,,NN,,00014,2026-02-16T16:31:20.536,,,,41,,,CHEMIN,DU LOUP,93420,VILLEPINTE,,93078,,,93078b006_B,668176.9,6871922.45,A,,,,MILOUDA SECURITY,80.20Z,NAFRev2,N,80.09Y
100047281,00017,10004728100017,O,2026-01-01,NN,,,2026-01-22T20:01:51.955,true,A,O,,2026-01-01,5710,OPTIMERCH,,,,,,,,,,,62.02A,NAFRev2,,N,N,NN,,00017,2026-01-22T20:01:51.955,,,,25,,,RUE,GEORGES BOUGAULT,93420,VILLEPINTE,,93078,,,930780607_B,665555.49,6874369.46,A,,,,,62.02A,NAFRev2,N,62.20G
100055565,00012,10005556500012,O,2026-01-14,NN,,,2026-01-23T15:01:07.009,true,A,O,,2026-01-14,5710,LP ASSURANCE,,,,,,,,,,,66.22Z,NAFRev2,,N,N,NN,,00012,2026-01-23T15:01:07.009,,,,4,,,AVENUE,PHILIPPE DE GIRARD,93420,VILLEPINTE,,93078,,,930781090_B,666610.78,6873089.72,A,,,,,66.22Z,NAFRev2,N,66.22Y
100057678,00011,10005767800011,O,2026-01-20,NN,,,2026-01-21T13:02:19.536,true,A,O,,2026-01-20,5710,ATLAS NOVA,,,,,,,,,,,62.03Z,NAFRev2,,N,N,NN,,00011,2026-01-21T13:02:19.536,,,,8,,,RUE,EMMANUEL MOUNIER,93420,VILLEPINTE,,93078,,,930780449_B,666906.63,6874314.75,A,,,,,62.03Z,NAFRev2,N,62.20H
100103100,00010,10010310000010,O,2025-01-01,NN,,,2026-01-22T10:01:03.026,true,A,O,,2025-01-01,5710,KRALA,,,,,,,,,,,70.10Z,NAFRev2,,N,N,NN,,00010,2026-01-22T10:01:03.026,,,,1,,,AVENUE,DE LA SOURCE,93420,VILLEPINTE,,93078,,,930781320_B,667438.5,6871963.15,A,,,,,70.10Z,NAFRev2,N,70.10Y
100109172,00013,10010917200013,P,2026-02-03,NN,,,2026-02-03T20:01:56.401,true,A,P,,2026-02-03,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],47.81Z,NAFRev2,,,,NN,,00013,2026-02-03T20:01:56.401,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],47.81Z,NAFRev2,N,47.27H
100121045,00015,10012104500015,O,2026-01-21,NN,,,2026-02-03T15:12:39.154,true,A,O,,2026-01-21,5710,CIHAN LOC AND GLASS,,,,,,,,,,,45.20A,NAFRev2,,N,N,NN,,00015,2026-02-03T15:12:39.154,,,,42,,,AVENUE,DE LA LIBERTE,93420,VILLEPINTE,,93078,,,930780810_B,667525.73,6872809.83,A,,,,,45.20A,NAFRev2,N,95.31G
100144906,00011,10014490600011,O,2026-02-02,NN,,,2026-01-21T21:21:20.274,true,A,O,,2026-02-02,1000,,,M,KIRI,,AMINE,,,,AMINE,,81.21Z,NAFRev2,,,,NN,,00011,2026-01-21T21:21:20.273,,,4 EME ETAGE,13,,,AVENUE,DES NYMPHES,93420,VILLEPINTE,,93078,,,930780990_B,668068.78,6871761.24,A,,,,ETABLISSEMENT KIRI AMINE,81.21Z,NAFRev2,N,81.21Y
100179936,00016,10017993600016,O,2025-12-30,NN,,,2026-01-29T14:01:14.53,true,A,O,,2025-12-30,5499,NOMADS VENTURES,,,,,,,,,,,70.10Z,NAFRev2,,N,N,NN,,00016,2026-01-29T14:01:14.53,,,,15,,,RUE,DAGUERRE,93420,VILLEPINTE,,93078,,,930780390_B,667569.0,6872390.12,A,,,,,70.10Z,NAFRev2,N,70.10Y
100193119,00011,10019311900011,O,2026-01-22,NN,,,2026-02-02T20:02:14.722,true,A,O,,2026-01-22,1000,,,M,GHELOUCI,,MARWANE,,,,MARWANE,,77.11A,NAFRev2,,,,NN,,00011,2026-02-02T20:02:14.722,,,,71,,,AVENUE,DIDEROT,93420,VILLEPINTE,,93078,,,930780420_B,666666.27,6872578.07,A,,,,LUXURY LANE,77.11A,NAFRev2,N,77.11Y
100201219,00019,10020121900019,O,2026-01-15,NN,,,2026-04-21T15:05:18.796,true,A,O,,2026-01-15,5710,AL MACONNERIE,,,,,,,,,,,00.00Z,NAFRev2,,N,N,NN,,00019,2026-04-21T15:05:18.789,,,,61,,,AVENUE,DU 8 MAI 1945,93420,VILLEPINTE,,93078,,,930780692_B,665477.57,6874011.61,A,,,,,70.10Z,NAFRev2,O,70.10Y
100233584,00018,10023358400018,O,2024-03-12,NN,,,2026-01-23T11:29:53.573,true,A,O,,2024-03-12,1000,,,M,DOMUR,,DEONARAINSING,,,,DEONARAINSING,,35.11Z,NAFRev2,,,,NN,,00018,2026-01-23T11:29:53.573,,,,1,,,AVENUE,PARMENTIER,93420,VILLEPINTE,,93078,,,930781020_B,667906.31,6872051.84,A,,,,,35.11Z,NAFRev2,N,35.12Y
100238369,00019,10023836900019,O,2026-01-23,NN,,,2026-01-23T13:00:07.205,true,A,O,,2026-01-23,1000,,,M,JOSEPH,,JOHNN,KENLEY,,,JOHNN,,70.22Z,NAFRev2,,,,NN,,00019,2026-01-23T13:00:07.205,,,,149,,,BOULEVARD,DU PRESIDENT KENNEDY,93420,VILLEPINTE,,93078,,,930781157_B,666443.92,6873399.06,A,,,,JOHNN JOSEPH,70.22Z,NAFRev2,N,70.20Y
100260280,00019,10026028000019,P,2026-01-21,NN,,,2026-02-11T20:00:52.11,true,A,P,,2026-01-21,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],68.31Z,NAFRev2,,,,NN,,00019,2026-02-11T20:00:52.109,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],68.31Z,NAFRev2,N,68.31Y
100282607,00017,10028260700017,O,2026-01-25,NN,,,2026-02-05T17:54:20.891,true,A,O,,2026-01-25,5710,TAX'IN CORP,,,,,,,,,,,49.32Z,NAFRev2,,N,N,NN,,00017,2026-02-05T17:54:20.891,,,,4,,,ALLEE,CEDRES,93420,VILLEPINTE,,93078,,,930780259_B,666692.53,6873169.54,A,,,,,49.32Z,NAFRev2,N,49.33G
100283878,00013,10028387800013,O,2025-12-24,NN,,,2026-02-02T17:01:16.639,true,A,O,,2025-12-24,5710,SDH SECURITY,,,,,,,,,,,80.20Z,NAFRev2,,N,N,NN,,00013,2026-02-02T17:01:16.638,,,,1,,,AVENUE,DU BON AVENIR,93420,VILLEPINTE,,93078,,,930780200_B,667983.19,6871994.25,A,,,,,80.20Z,NAFRev2,N,80.09Y
100317387,00015,10031738700015,O,2026-01-23,NN,,,2026-01-26T10:32:56.602,true,A,O,,2026-01-23,1000,,,M,JOSEPH,,ERWANN,LUCAS,,,ERWANN,,70.22Z,NAFRev2,,,,NN,,00015,2026-01-26T10:32:56.601,,,,149,,,BOULEVARD,DU PRESIDENT KENNEDY,93420,VILLEPINTE,,93078,,,930781157_B,666443.92,6873399.06,A,,,,ERWANN.J,70.22Z,NAFRev2,N,70.20Y
100353812,00017,10035381200017,O,2026-01-01,NN,,,2026-01-27T13:03:00.895,true,A,O,,2026-01-01,5499,MELIPHANT,,,,,,,,,,,00.00Z,NAFRev2,,N,N,NN,,00017,2026-01-27T13:03:00.894,,,BATIMENT A - APPARTEMENT 106,14,,,BOULEVARD,PEPINIERE,93420,VILLEPINTE,,93078,,,930781067_B,665562.08,6872685.52,A,,,,,70.10Z,NAFRev2,,70.10Y
100363274,00018,10036327400018,P,2026-02-02,NN,,,2026-02-11T20:01:00.579,true,A,P,,2026-02-02,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],82.99Z,NAFRev2,,,,NN,,00018,2026-02-11T20:01:00.579,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],82.99Z,NAFRev2,N,56.21Y
100368851,00018,10036885100018,P,2026-02-02,NN,,,2026-02-05T12:01:11.081,true,A,P,,2026-02-02,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],47.91A,NAFRev2,,,,NN,,00018,2026-02-05T12:01:11.081,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],47.91A,NAFRev2,N,47.12H
100378892,00010,10037889200010,O,2026-01-27,NN,,,2026-02-05T14:01:56.212,true,A,O,,2026-01-27,1000,,,F,LANCRY,VERTUEUX,EVA,,,,EVA,,47.82Z,NAFRev2,,,,NN,,00010,2026-02-05T14:01:56.211,,,,9,,,AVENUE,HENRI BECQUEREL,93420,VILLEPINTE,,93078,,,930780661_B,667500.43,6873117.35,A,,,,SPICES VERTUEUSES,47.82Z,NAFRev2,N,47.72G
100400068,00019,10040006800019,O,2026-02-28,NN,,,2026-01-28T11:36:31.093,true,A,O,,2026-02-28,1000,,,F,ZENNOUHI,,MERYAM,,,,MERYAM,,96.09Z,NAFRev2,,,,NN,,00019,2026-01-28T11:36:31.09,,,,30,,,AVENUE,DU GENERAL DELESTRAINT,93420,VILLEPINTE,,93078,,,93078wv2y_B,667902.9,6871807.31,A,,,,MYSAFGLAM,96.09Z,NAFRev2,N,96.99H
100405349,00018,10040534900018,O,2026-01-13,NN,,,2026-01-28T13:02:33.942,true,A,O,,2026-01-13,5710,CAPTAIN MTR,,,,,,,,,,,00.00Z,NAFRev2,,N,N,NN,,00018,2026-01-28T13:02:33.942,,,,36,,,AVENUE,DE LA GARE,93420,VILLEPINTE,,93078,,,930780570_B,668036.5,6871951.59,A,,,,,70.10Z,NAFRev2,,70.10Y
100410299,00018,10041029900018,O,2026-01-27,NN,,,2026-01-27T20:06:47.686,true,A,O,,2026-01-27,1000,,,M,KINCSES,,DEZSO-CSABA,,,,DEZSO-CSABA,,43.33Z,NAFRev2,,,,NN,,00018,2026-01-27T20:06:47.686,,,,7,,,AVENUE,DU BOIS SAINT DENIS,93420,VILLEPINTE,,93078,,,930780180_B,667854.17,6872527.75,A,,,,,43.33Z,NAFRev2,N,43.33Y
100441773,00015,10044177300015,P,2026-01-26,NN,,,2026-02-13T12:01:47.685,true,A,P,,2026-01-26,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],32.40Z,NAFRev2,,,,NN,,00015,2026-02-13T12:01:47.685,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],32.40Z,NAFRev2,N,32.40Y
100442854,00012,10044285400012,O,2026-01-26,NN,,,2026-02-12T13:02:39.86,true,A,O,,2026-01-26,1000,,,M,NTSOUMOU,,AJAIN,RICHARD,,,AJAIN,,46.90Z,NAFRev2,,,,NN,,00012,2026-02-12T13:02:39.86,,,,5,,,RUE,BYASSON,93420,VILLEPINTE,,93078,,,930780243_B,667247.48,6873181.16,A,,,,,46.90Z,NAFRev2,N,46.90Y
100443027,00014,10044302700014,O,2026-02-04,NN,,,2026-01-28T11:41:53.356,true,A,O,,2026-02-04,1000,,,M,MODE,,CHANDRAKANTH,,,,CHANDRAKANTH,,53.20Z,NAFRev2,,,,NN,,00014,2026-01-28T11:41:53.356,,,,54,,,AVENUE,BARBES,93420,VILLEPINTE,,93078,,,930780110_B,666226.33,6872631.22,A,,,,,53.20Z,NAFRev2,N,53.20H
100449008,00018,10044900800018,P,2026-01-27,NN,,,2026-01-28T13:45:20.854,true,A,P,,2026-01-27,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],70.22Z,NAFRev2,,,,NN,,00018,2026-01-28T13:45:20.854,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],70.22Z,NAFRev2,N,70.20Y
100507854,00014,10050785400014,O,2026-01-20,NN,,,2026-02-12T16:32:20.492,true,A,O,,2026-01-20,5710,TAXI AZIZ TRANSPORT,,,,,,,,,,,49.32Z,NAFRev2,,N,N,NN,,00014,2026-02-12T16:32:20.492,,,,17,,,RUE,DE BOURGOGNE,93420,VILLEPINTE,,93078,,,930780220_B,667745.54,6872223.1,A,,,,,49.32Z,NAFRev2,N,49.33G
100537513,00010,10053751300010,P,2026-02-01,NN,,,2026-01-30T08:40:17.629,true,A,P,,2026-02-01,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],70.22Z,NAFRev2,,,,NN,,00010,2026-01-30T08:40:17.629,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],70.22Z,NAFRev2,N,70.20Y
100538818,00012,10053881800012,P,2026-01-13,NN,,,2026-01-30T08:50:01.082,true,A,P,,2026-01-13,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],90.01Z,NAFRev2,,,,NN,,00012,2026-01-30T08:50:01.082,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],90.01Z,NAFRev2,N,90.20Y
100543172,00017,10054317200017,O,2026-01-16,NN,,,2026-03-26T13:22:01.723,true,A,O,,2026-01-16,1000,,,M,KONTE,,BAKARY,,,,BAKARY,,82.11Z,NAFRev2,,,,NN,,00017,2026-03-26T13:22:01.706,,,BAT F1,,,,BOULEVARD,DU PRESIDENT KENNEDY,93420,VILLEPINTE,,93078,,,930781157_B,666374.19,6873282.7,A,,,,KONTE CONSEILS & REPARATIONS,82.11Z,NAFRev2,O,82.10Y
100575653,00017,10057565300017,O,2026-01-02,NN,,,2026-02-12T15:42:23.181,true,A,O,,2026-01-02,5710,IDF VTC,,,,,,,,,,,49.32Z,NAFRev2,,N,N,NN,,00017,2026-02-12T15:42:23.181,,,,7,,,RUE,DE LA VOIE DES PRES,93420,VILLEPINTE,,93078,,,930781400_B,665915.73,6873514.92,A,,,,,49.32Z,NAFRev2,N,49.33H
100616085,00013,10061608500013,O,2026-02-02,NN,,,2026-02-02T09:11:34.19,true,A,O,,2026-02-02,1000,,,M,DEMDOUM,,WALID,,,,WALID,,81.21Z,NAFRev2,,,,NN,,00013,2026-02-02T09:11:34.189,,,BAT6 PORTE3102,6,,,RUE,MANET,93420,VILLEPINTE,,93078,,,930780853_B,667288.13,6872522.7,A,,,,VAVILUX,81.21Z,NAFRev2,N,81.21Y
100637206,00010,10063720600010,O,2026-01-31,NN,,,2026-04-22T15:50:32.233,true,A,O,,2026-01-31,1000,,,F,THOR,,ELENA,LAVENA,MAIV-NTXUAJ,,ELENA,,82.30Z,NAFRev2,,,,NN,,00010,2026-04-22T15:50:32.236,,,,22,,,RUE,LABORDE,93420,VILLEPINTE,,93078,,,930780778_B,667377.87,6873174.75,A,,,,,82.30Z,NAFRev2,N,73.11Y
100649060,00017,10064906000017,O,2026-01-30,NN,,,2026-02-03T13:03:06.738,true,A,O,,2026-01-30,5710,MULTANI HERITAGE,,,,,,,,,,,66.30Z,NAFRev2,,N,N,NN,,00017,2026-02-03T13:03:06.738,,,,5,,,ALLEE,LOUIS JOUVET,93420,VILLEPINTE,,93078,,,930780835_B,666631.79,6873786.76,A,,,,,66.30Z,NAFRev2,N,66.30Y
100649144,00019,10064914400019,O,2026-01-30,NN,,,2026-02-24T13:13:40.306,true,A,O,,2026-01-30,5710,AM CONSTRUCTION,,,,,,,,,,,43.33Z,NAFRev2,,N,N,NN,,00019,2026-02-24T13:13:40.304,,,,36,,,AVENUE,DE LA GARE,93420,VILLEPINTE,,93078,,,930780570_B,668036.5,6871951.59,A,,,,,43.33Z,NAFRev2,O,43.33Y
100663194,00023,10066319400023,O,2026-04-23,NN,,,2026-05-07T09:42:19.873,true,A,O,,2025-12-26,9220,ENSEMBLE AUTREMENT,,,,,,,,,,,94.99Z,NAFRev2,W952016036,O,N,NN,,00023,2026-05-07T09:43:18.416,,,,31,,,IMPASSE,JEAN MONNET,93420,VILLEPINTE,,93078,,,930780729_B,666858.61,6873908.9,A,,,,,94.99Z,NAFRev2,N,94.99Y
100679729,00010,10067972900010,O,2026-02-02,NN,,,2026-02-19T09:44:32.844,true,A,O,,2026-02-02,1000,,,F,NSIMBA,,STELLA,MANKUSA,MARIA,,STELLA,,81.29B,NAFRev2,,,,NN,,00010,2026-02-19T09:44:32.844,,,BATIMENT COLOMBES,6,,,RUE,DU VERCORS,93420,VILLEPINTE,,93078,,,930781375_B,667807.31,6872780.34,A,,,,CLEANY BY S,81.29B,NAFRev2,N,81.23H
100680040,00019,10068004000019,P,2026-01-26,NN,,,2026-02-19T13:02:30.352,true,A,P,,2026-01-26,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],17.23Z,NAFRev2,,,,NN,,00019,2026-02-19T13:02:30.352,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],17.23Z,NAFRev2,N,17.23Y
100718212,00010,10071821200010,O,2026-02-02,NN,,,2026-02-21T20:00:26.19,true,A,O,,2026-02-02,1000,,,M,KERMAOUI,,RAYANE,MOAMEDE,,,RAYANE,,53.20Z,NAFRev2,,,,NN,,00010,2026-02-21T20:00:26.19,,,,31,,,RUE,AFFORTY,93420,VILLEPINTE,,93078,,,930780012_B,666927.2,6874403.82,A,,,,,53.20Z,NAFRev2,N,53.20G
100723253,00017,10072325300017,O,2026-01-27,NN,,,2026-02-04T10:01:30.26,true,A,O,,2026-01-27,5710,DISTRIB 2L,,,,,,,,,,,73.11Z,NAFRev2,,N,N,NN,,00017,2026-02-04T10:01:30.26,,,,35,,,AVENUE,DU VERT GALANT,93420,VILLEPINTE,,93078,,,930781380_B,666612.51,6872920.79,A,,,,,73.11Z,NAFRev2,N,73.11Y
100738459,00013,10073845900013,P,2026-12-02,NN,,,2026-02-04T08:46:31.308,true,A,P,,2026-12-02,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],93.29Z,NAFRev2,,,,NN,,00013,2026-02-04T08:46:31.307,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],VILLEPINTE,,93078,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],93.29Z,NAFRev2,N,93.29Y
100751510,00015,10075151000015,O,2026-01-31,NN,,,2026-03-03T13:16:48.83,true,A,O,,2026-01-31,5710,FCSB BATIMENT,,,,,,,,,,,41.20A,NAFRev2,,N,N,NN,,00015,2026-03-03T13:16:48.827,,,,5,,,AVENUE,JEAN JAURES,93420,VILLEPINTE,,93078,,,930780720_B,667209.7,6872046.62,A,,,,,41.20A,NAFRev2,O,43.33Y
